CARID,Name,Predicted Spill Frequency / Year,Predicted Spill Volume / Year (m3),Storm Overflow Classification,Receiving Waterbody ID,Receiving Waterbody Name,X,Y,XY Coordinates,Coordinate Description,Monitored,2023 Spill Count,2023 Spill Duration (hrs),2024 Spill count,2024 Spill duration (hrs),2024 Percent Availability,Commentary
SP002022720,Gortmore WwPS,29,294,Unsatisfactory,UKGBNI1NB030303167,Back Burn,285961,399776,285961 399776,Discharge Point Coordinates,,,,,,,
CO003173808,Queen Street CSO,9,293,Satisfactory,UKGBNI1NB030302017,Deerfin Burn,310542,402260,310542 402260,Discharge Point Coordinates,,,,,,,
CO000984489,Twaddell Avenue CSO,2,292,Unsatisfactory,UKGBNI1NE050505126,Blackstaff (Belfast) River,331360,375393,331360 375393,Discharge Point Coordinates,,,,,,,
CO000984655,Main Street Agnew CSO,1,287,Unsatisfactory,GBNI8NE058,Glens and Rathlin,340485,402518,340485 402518,Discharge Point Coordinates,,,,,,,
CO000984513,Beechmount Avenue Ardnaclowney CSO,1,284,Unsatisfactory,Undefined,Undefined,331729,373660,331729 373660,Coordinates of Asset (Discharge Point Unavailable),,,,,,,
SP002021927,Ballyarnet Springfield WwPS,25,280,Unsatisfactory,GBNI8NW020,Burn Dennet and Foyle,244653,421505,244653 421505,Discharge Point Coordinates,,,,,,,
CO003053184,East Street CSO,1,268,Unsatisfactory,UKGBNI1NE050504085,Cully's Burn,349377,374218,349377 374218,Discharge Point Coordinates,,,,,,,
CO002870219,Ladas Drive CSO,1,267,Unsatisfactory,UKGBNI1NE050503087,Connswater,336165,372222,336165 372222,Discharge Point Coordinates,,,,,,,
SP002022654,Gortfad WwPS,174,263,Satisfactory,UKGBNI1NB030301149,Lower River Bann (Kilrea),297962,404776,297962 404776,Discharge Point Coordinates,,,,,,,
SP002022215,Waringfield WwPS,3,257,Unsatisfactory,UKGBNI1NE050505127,River Lagan (Lisburn),314896,359645,314896 359645,Discharge Point Coordinates,,,,,,,
CO002853025,Park Road CSO,3,241,Unsatisfactory,UKGBNI5NW250030,Upper Foyle,234328,398648,234328 398648,Discharge Point Coordinates,,,,,,,
